3378
MNE	low	NY.GDP.MKTP.CD	1.00000
TUN	low	NY.GDP.MKTP.CD	1.00000
SEN	low	NY.GDP.MKTP.CD	1.00000
SMR	low	NY.GDP.MKTP.CD	1.00000
GTM	low	NY.GDP.MKTP.CD	1.00000
ZWE	low	NY.GDP.MKTP.CD	1.00000
FRO	low	NY.GDP.MKTP.CD	1.00000
MAC	low	NY.GDP.MKTP.CD	1.00000
MDA	low	NY.GDP.MKTP.CD	1.00000
ARM	low	NY.GDP.MKTP.CD	1.00000
GHA	low	NY.GDP.MKTP.CD	1.00000
LKA	low	NY.GDP.MKTP.CD	1.00000
URY	low	NY.GDP.MKTP.CD	1.00000
KGZ	low	NY.GDP.MKTP.CD	1.00000
BIH	low	NY.GDP.MKTP.CD	1.00000
SDN	low	NY.GDP.MKTP.CD	1.00000
HKG	low	NY.GDP.MKTP.CD	1.00000
CMR	mediumLow	NY.GDP.MKTP.CD	1.00000
TGO	mediumLow	NY.GDP.MKTP.CD	1.00000
FRO	mediumLow	NY.GDP.MKTP.CD	1.00000
BMU	mediumLow	NY.GDP.MKTP.CD	1.00000
BEN	mediumLow	NY.GDP.MKTP.CD	1.00000
GNB	mediumLow	NY.GDP.MKTP.CD	1.00000
GMB	mediumLow	NY.GDP.MKTP.CD	1.00000
MRT	mediumLow	NY.GDP.MKTP.CD	1.00000
PYF	mediumLow	NY.GDP.MKTP.CD	1.00000
LSO	mediumLow	NY.GDP.MKTP.CD	1.00000
PRY	mediumLow	NY.GDP.MKTP.CD	1.00000
PNG	mediumLow	NY.GDP.MKTP.CD	1.00000
CPV	mediumLow	NY.GDP.MKTP.CD	1.00000
ISL	mediumLow	NY.GDP.MKTP.CD	1.00000
MCO	mediumLow	NY.GDP.MKTP.CD	1.00000
ECU	mediumLow	NY.GDP.MKTP.CD	1.00000
LUX	mediumLow	NY.GDP.MKTP.CD	1.00000
TJK	mediumLow	NY.GDP.MKTP.CD	1.00000
NIC	mediumLow	NY.GDP.MKTP.CD	1.00000
PAN	mediumLow	NY.GDP.MKTP.CD	1.00000
KGZ	mediumLow	NY.GDP.MKTP.CD	1.00000
SMR	mediumLow	NY.GDP.MKTP.CD	1.00000
CRI	mediumLow	NY.GDP.MKTP.CD	1.00000
BLZ	mediumLow	NY.GDP.MKTP.CD	1.00000
ABW	mediumLow	NY.GDP.MKTP.CD	1.00000
MAC	mediumLow	NY.GDP.MKTP.CD	1.00000
FJI	mediumLow	NY.GDP.MKTP.CD	1.00000
TCD	mediumLow	NY.GDP.MKTP.CD	1.00000
MLI	mediumLow	NY.GDP.MKTP.CD	1.00000
URY	mediumLow	NY.GDP.MKTP.CD	1.00000
JAM	mediumLow	NY.GDP.MKTP.CD	1.00000
GHA	mediumLow	NY.GDP.MKTP.CD	1.00000
SDN	mediumLow	NY.GDP.MKTP.CD	1.00000
SWZ	mediumLow	NY.GDP.MKTP.CD	1.00000
LAO	mediumLow	NY.GDP.MKTP.CD	1.00000
GAB	mediumLow	NY.GDP.MKTP.CD	1.00000
SLB	mediumLow	NY.GDP.MKTP.CD	1.00000
AND	mediumLow	NY.GDP.MKTP.CD	1.00000
BRB	mediumLow	NY.GDP.MKTP.CD	1.00000
BTN	mediumLow	NY.GDP.MKTP.CD	1.00000
BFA	mediumLow	NY.GDP.MKTP.CD	1.00000
GRL	mediumLow	NY.GDP.MKTP.CD	1.00000
MNP	mediumLow	NY.GDP.MKTP.CD	1.00000
SYR	mediumLow	NY.GDP.MKTP.CD	1.00000
IMN	mediumLow	NY.GDP.MKTP.CD	1.00000
AZE	mediumLow	NY.GDP.MKTP.CD	1.00000
SYC	mediumLow	NY.GDP.MKTP.CD	1.00000
MDV	mediumLow	NY.GDP.MKTP.CD	1.00000
NPL	mediumLow	NY.GDP.MKTP.CD	1.00000
LCA	mediumLow	NY.GDP.MKTP.CD	1.00000
BHS	mediumLow	NY.GDP.MKTP.CD	1.00000
TLS	mediumLow	NY.GDP.MKTP.CD	1.00000
CIV	mediumLow	NY.GDP.MKTP.CD	1.00000
RWA	mediumLow	NY.GDP.MKTP.CD	1.00000
ERI	mediumLow	NY.GDP.MKTP.CD	1.00000
MMR	mediumLow	NY.GDP.MKTP.CD	1.00000
MWI	mediumLow	NY.GDP.MKTP.CD	1.00000
MNG	mediumLow	NY.GDP.MKTP.CD	1.00000
AFG	mediumLow	NY.GDP.MKTP.CD	1.00000
ARM	mediumLow	NY.GDP.MKTP.CD	1.00000
KEN	mediumLow	NY.GDP.MKTP.CD	1.00000
ZMB	mediumLow	NY.GDP.MKTP.CD	1.00000
ATG	mediumLow	NY.GDP.MKTP.CD	1.00000
NAM	mediumLow	NY.GDP.MKTP.CD	1.00000
GTM	mediumLow	NY.GDP.MKTP.CD	1.00000
BDI	mediumLow	NY.GDP.MKTP.CD	1.00000
HKG	mediumLow	NY.GDP.MKTP.CD	1.00000
SEN	mediumLow	NY.GDP.MKTP.CD	1.00000
HTI	mediumLow	NY.GDP.MKTP.CD	1.00000
LIE	mediumLow	NY.GDP.MKTP.CD	1.00000
OMN	mediumLow	NY.GDP.MKTP.CD	1.00000
SLE	mediumLow	NY.GDP.MKTP.CD	1.00000
MDG	mediumLow	NY.GDP.MKTP.CD	1.00000
SGP	mediumLow	NY.GDP.MKTP.CD	1.00000
MDA	mediumLow	NY.GDP.MKTP.CD	1.00000
SLV	mediumLow	NY.GDP.MKTP.CD	1.00000
DOM	mediumLow	NY.GDP.MKTP.CD	1.00000
HND	mediumLow	NY.GDP.MKTP.CD	1.00000
IRQ	mediumLow	NY.GDP.MKTP.CD	1.00000
TUN	mediumLow	NY.GDP.MKTP.CD	1.00000
