"country","sameAsCountry","life_expectancy"
"http://worldbank.org/Country/LSO","http://www.wikidata.org/entity/Q1013","54.174"
"http://worldbank.org/Country/LBR","http://www.wikidata.org/entity/Q1014","62.505"
"http://worldbank.org/Country/LCA","http://www.wikidata.org/entity/Q760","75.496"
"http://worldbank.org/Country/LKA","http://www.wikidata.org/entity/Q854","77.75"
"http://worldbank.org/Country/LIE","http://www.wikidata.org/entity/Q347","82.6561"
"http://worldbank.org/Country/MHL","http://www.wikidata.org/entity/Q709","65.23902"
"http://worldbank.org/Country/MDA","http://www.wikidata.org/entity/Q217","71.61"
"http://worldbank.org/Country/MDG","http://www.wikidata.org/entity/Q1019","65.932"
"http://worldbank.org/Country/MKD","http://www.wikidata.org/entity/Q221","75.703"
"http://worldbank.org/Country/MDV","http://www.wikidata.org/entity/Q826","77.339"
"http://worldbank.org/Country/NGA","http://www.wikidata.org/entity/Q1033","53.428"
"http://worldbank.org/Country/NPL","http://www.wikidata.org/entity/Q837","72.12"
"http://worldbank.org/Country/NIC","http://www.wikidata.org/entity/Q811","75.404"
"http://worldbank.org/Country/NLD","http://www.wikidata.org/entity/Q55","81.50976"
"http://worldbank.org/Country/NZL","http://www.wikidata.org/entity/Q664","81.61244"
"http://worldbank.org/Country/NOR","http://www.wikidata.org/entity/Q20","82.40732"
"http://worldbank.org/Country/MMR","http://www.wikidata.org/entity/Q836","69.62"
"http://worldbank.org/Country/MNG","http://www.wikidata.org/entity/Q711","69.287"
"http://worldbank.org/Country/MOZ","http://www.wikidata.org/entity/Q1029","58.311"
"http://worldbank.org/Country/MNE","http://www.wikidata.org/entity/Q236","77.116"
"http://worldbank.org/Country/PLW","http://www.wikidata.org/entity/Q695","69.12927"
"http://worldbank.org/Country/PAK","http://www.wikidata.org/entity/Q843","69.37"
"http://worldbank.org/Country/PNG","http://www.wikidata.org/entity/Q691","65.544"
"http://worldbank.org/Country/PHL","http://www.wikidata.org/entity/Q928","71.095"
"http://worldbank.org/Country/OMN","http://www.wikidata.org/entity/Q842","77.029"
"http://worldbank.org/Country/PAN","http://www.wikidata.org/entity/Q804","78.001"
"http://worldbank.org/Country/MWI","http://www.wikidata.org/entity/Q1020","63.223"
"http://worldbank.org/Country/MRT","http://www.wikidata.org/entity/Q1025","63.238"
